1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,536774
1024,000000	4,032387
2048,000000	7,138495
3072,000000	10,436509
4096,000000	13,233516
5120,000000	17,386172
6144,000000	19,642500
7168,000000	23,355078
8192,000000	26,755469
9216,000000	29,367500
10240,000000	32,990625
11264,000000	35,984453
12288,000000	39,308828
13312,000000	43,422266
14336,000000	46,823125
15360,000000	48,911328
16384,000000	52,362266
17408,000000	55,246250
18432,000000	58,338594
19456,000000	61,852031
20480,000000	64,943906
21504,000000	68,423984
22528,000000	71,341016
23552,000000	73,568047
24576,000000	76,725469
25600,000000	79,101094
26624,000000	82,422031
27648,000000	85,576953
28672,000000	88,794687
29696,000000	91,106172
30720,000000	94,500156
31744,000000	97,366953
32768,000000	99,820391
33792,000000	102,482031
34816,000000	106,305937
35840,000000	108,220625
36864,000000	111,381484
37888,000000	113,732969
38912,000000	116,204453
39936,000000	118,887187
40960,000000	121,488828
41984,000000	124,038047
43008,000000	126,183203
44032,000000	129,416250
45056,000000	131,066719
46080,000000	134,330703
47104,000000	136,104531
48128,000000	138,680469
49152,000000	140,663281
50176,000000	142,925469
51200,000000	145,715937
52224,000000	147,608828
53248,000000	149,166563
54272,000000	152,273906
55296,000000	154,069453
56320,000000	156,512187
57344,000000	158,203203
58368,000000	160,186641
59392,000000	162,841797
60416,000000	164,411719
61440,000000	166,226328
62464,000000	168,503359
63488,000000	170,766250
64512,000000	172,226484
65536,000000	174,420391
66560,000000	176,548516
67584,000000	178,289141
68608,000000	180,207734
69632,000000	181,413281
70656,000000	183,625313
71680,000000	184,715469
72704,000000	186,994375
73728,000000	188,412031
74752,000000	190,078203
75776,000000	192,155234
76800,000000	193,255156
77824,000000	195,603438
78848,000000	196,375391
79872,000000	198,126484
80896,000000	199,441328
81920,000000	200,875859
82944,000000	202,296563
83968,000000	203,679844
84992,000000	205,072969
86016,000000	206,268750
87040,000000	207,956953
88064,000000	209,174844
89088,000000	210,330469
90112,000000	211,842031
91136,000000	212,891094
92160,000000	214,033594
93184,000000	215,006172
94208,000000	216,617969
95232,000000	217,331328
96256,000000	218,663672
97280,000000	219,799844
98304,000000	221,108359
99328,000000	222,205781
100352,000000	222,835547
101376,000000	224,336563
102400,000000	225,129375
103424,000000	225,899531
104448,000000	227,011953
105472,000000	227,815937
106496,000000	228,766406
107520,000000	229,801953
108544,000000	230,491641
109568,000000	231,200547
110592,000000	232,329766
111616,000000	233,343203
112640,000000	233,990703
113664,000000	234,540781
114688,000000	235,486875
115712,000000	236,066016
116736,000000	236,963359
117760,000000	237,647812
118784,000000	238,579844
119808,000000	239,033047
120832,000000	239,850781
121856,000000	240,438047
122880,000000	241,111797
123904,000000	241,878984
124928,000000	242,457031
125952,000000	242,869687
126976,000000	243,632344
128000,000000	244,252500
129024,000000	244,807578
130048,000000	245,261797
131072,000000	245,827969
132096,000000	246,367813
133120,000000	246,931797
134144,000000	247,225000
135168,000000	247,945469
136192,000000	248,238516
137216,000000	248,829219
138240,000000	249,378750
139264,000000	249,653203
140288,000000	250,164609
141312,000000	250,488750
142336,000000	250,972031
143360,000000	251,312656
144384,000000	251,503984
145408,000000	252,068984
146432,000000	252,469063
147456,000000	252,781563
148480,000000	253,076406
149504,000000	253,317344
150528,000000	253,822500
151552,000000	254,121094
152576,000000	254,467344
153600,000000	254,704141
154624,000000	254,944063
155648,000000	255,271875
156672,000000	255,585781
