1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,681745
1024,000000	4,209486
2048,000000	7,721953
3072,000000	10,657891
4096,000000	14,446953
5120,000000	17,561953
6144,000000	20,945781
7168,000000	24,490078
8192,000000	27,228125
9216,000000	30,450391
10240,000000	34,040469
11264,000000	37,339141
12288,000000	40,723828
13312,000000	44,028594
14336,000000	47,064453
15360,000000	50,806094
16384,000000	53,278750
17408,000000	56,844062
18432,000000	60,295469
19456,000000	63,629922
20480,000000	66,448516
21504,000000	69,548047
22528,000000	72,983437
23552,000000	76,038438
24576,000000	78,906953
25600,000000	81,652031
26624,000000	84,835313
27648,000000	88,097031
28672,000000	90,894453
29696,000000	93,685156
30720,000000	96,350469
31744,000000	99,146406
32768,000000	102,653906
33792,000000	105,758516
34816,000000	108,618984
35840,000000	110,974844
36864,000000	113,595313
37888,000000	116,788281
38912,000000	119,451797
39936,000000	121,960234
40960,000000	124,153672
41984,000000	126,997109
43008,000000	129,363359
44032,000000	132,234063
45056,000000	134,593281
46080,000000	136,970000
47104,000000	139,438906
48128,000000	142,007266
49152,000000	144,553906
50176,000000	146,782266
51200,000000	148,922969
52224,000000	151,300391
53248,000000	153,732656
54272,000000	155,503203
55296,000000	158,234531
56320,000000	160,301406
57344,000000	162,329453
58368,000000	164,302656
59392,000000	166,357969
60416,000000	168,416562
61440,000000	170,408750
62464,000000	172,214063
63488,000000	174,440781
64512,000000	176,573750
65536,000000	179,085937
66560,000000	180,773203
67584,000000	182,775156
68608,000000	184,437109
69632,000000	186,023125
70656,000000	187,980000
71680,000000	189,727813
72704,000000	191,381250
73728,000000	192,851875
74752,000000	194,399063
75776,000000	196,098203
76800,000000	197,720313
77824,000000	199,280313
78848,000000	200,685313
79872,000000	202,222109
80896,000000	203,735469
81920,000000	205,084531
82944,000000	206,667891
83968,000000	208,301563
84992,000000	209,648828
86016,000000	210,984062
87040,000000	212,322812
88064,000000	213,837578
89088,000000	214,840078
90112,000000	216,116094
91136,000000	217,521484
92160,000000	218,567813
93184,000000	219,678359
94208,000000	220,904844
95232,000000	222,021172
96256,000000	223,207734
97280,000000	223,993516
98304,000000	225,506172
99328,000000	226,318750
100352,000000	227,322578
101376,000000	228,235547
102400,000000	229,227812
103424,000000	230,184375
104448,000000	231,119141
105472,000000	231,997813
106496,000000	233,038672
107520,000000	233,827109
108544,000000	234,533672
109568,000000	235,311953
110592,000000	236,269141
111616,000000	237,021875
112640,000000	237,839063
113664,000000	238,531250
114688,000000	239,538984
115712,000000	240,380234
116736,000000	241,040391
117760,000000	241,953125
118784,000000	242,512500
119808,000000	243,193047
120832,000000	243,835469
121856,000000	244,479375
122880,000000	245,075625
123904,000000	245,422031
124928,000000	246,112031
125952,000000	246,689844
126976,000000	247,182813
128000,000000	247,575625
129024,000000	248,306641
130048,000000	248,677969
131072,000000	249,249375
132096,000000	249,608594
133120,000000	250,105547
134144,000000	250,685469
135168,000000	250,955469
136192,000000	251,380625
137216,000000	251,899531
138240,000000	252,283750
139264,000000	252,700156
140288,000000	253,168750
141312,000000	253,427344
142336,000000	253,892344
143360,000000	254,129219
144384,000000	254,534141
145408,000000	254,783984
146432,000000	255,110938
147456,000000	255,544453
148480,000000	255,722578
149504,000000	256,123984
150528,000000	256,223906
151552,000000	256,697500
152576,000000	256,901406
153600,000000	257,153906
154624,000000	257,413359
155648,000000	257,767031
156672,000000	258,044219
157696,000000	258,252891
158720,000000	258,423516
159744,000000	258,792891
160768,000000	258,925156
161792,000000	259,179453
162816,000000	259,304922
163840,000000	259,512422
164864,000000	259,756719
165888,000000	259,830703
166912,000000	260,096563
167936,000000	260,325000
168960,000000	260,382656
169984,000000	260,601875
171008,000000	260,720469
172032,000000	260,932031
173056,000000	261,126406
174080,000000	261,231016
175104,000000	261,375859
176128,000000	261,547656
177152,000000	261,760078
178176,000000	261,841797
179200,000000	261,915859
180224,000000	262,132500
181248,000000	262,202812
182272,000000	262,337188
183296,000000	262,422891
184320,000000	262,598984
185344,000000	262,740312
186368,000000	262,793359
187392,000000	262,863750
188416,000000	262,970781
189440,000000	263,083359
190464,000000	263,171172
191488,000000	263,318828
192512,000000	263,510312
193536,000000	263,305781
194560,000000	263,612578
195584,000000	263,804531
196608,000000	263,954531
197632,000000	264,016484
198656,000000	263,959609
199680,000000	264,174297
200704,000000	264,196328
201728,000000	264,275000
202752,000000	264,376094
203776,000000	264,613437
204800,000000	264,634531
205824,000000	264,691563
206848,000000	264,896484
207872,000000	264,824844
208896,000000	264,885547
209920,000000	264,975234
210944,000000	265,062500
211968,000000	265,187656
212992,000000	265,327578
214016,000000	265,312109
215040,000000	265,283750
216064,000000	265,444766
217088,000000	265,573672
218112,000000	265,473750
219136,000000	265,370000
220160,000000	265,630234
221184,000000	265,607422
222208,000000	265,701797
223232,000000	265,826016
224256,000000	265,775156
225280,000000	265,741641
226304,000000	265,800234
227328,000000	265,942344
228352,000000	265,793750
229376,000000	265,933125
230400,000000	265,932266
231424,000000	265,999531
232448,000000	265,953281
233472,000000	266,076016
234496,000000	266,085547
235520,000000	266,085938
236544,000000	265,944844
237568,000000	266,103125
238592,000000	266,125547
239616,000000	266,106797
240640,000000	266,164453
241664,000000	266,288594
242688,000000	266,083672
243712,000000	266,175938
244736,000000	266,246016
245760,000000	266,162578
246784,000000	266,174531
247808,000000	266,327734
248832,000000	266,215547
249856,000000	266,326719
250880,000000	266,266875
251904,000000	266,432500
252928,000000	266,323438
253952,000000	266,359453
254976,000000	266,338125
256000,000000	266,414297
