1D 32 -4,000000 252,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	73,208047
8,000000	76,006172
16,000000	80,050625
24,000000	85,068750
32,000000	87,949687
40,000000	92,114766
48,000000	95,775391
56,000000	97,213125
64,000000	98,297578
72,000000	95,515781
80,000000	85,854687
88,000000	68,329609
96,000000	38,284219
104,000000	7,598906
112,000000	1,596781
120,000000	1,523088
128,000000	1,594604
136,000000	1,749850
144,000000	1,436038
152,000000	1,288036
160,000000	1,531555
168,000000	1,511431
176,000000	1,629528
184,000000	1,754622
192,000000	1,771359
200,000000	1,327231
208,000000	1,676891
216,000000	1,552002
224,000000	1,671526
232,000000	1,519900
240,000000	1,342643
248,000000	1,593108
