1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	4,209695
10,000000	3,903778
20,000000	5,111922
30,000000	4,429606
40,000000	4,568474
50,000000	4,905959
60,000000	4,805270
70,000000	32,432310
80,000000	83,852324
90,000000	121,055961
100,000000	133,329793
110,000000	133,111260
120,000000	126,049625
130,000000	115,503224
140,000000	103,947380
150,000000	93,272761
160,000000	83,717844
170,000000	74,556788
180,000000	66,338499
190,000000	57,872840
200,000000	51,873172
210,000000	46,518887
220,000000	41,255025
230,000000	37,533869
240,000000	32,622745
250,000000	29,028116
260,000000	26,024734
270,000000	22,427005
280,000000	19,965367
290,000000	17,303850
300,000000	14,416549
310,000000	11,074559
320,000000	7,790936
330,000000	8,892277
340,000000	6,014389
350,000000	5,425035
360,000000	4,780310
370,000000	4,248838
380,000000	3,402224
390,000000	4,561111
400,000000	4,027936
410,000000	2,149263
420,000000	4,919672
430,000000	4,025290
440,000000	4,666940
450,000000	3,434666
460,000000	4,448100
470,000000	3,577445
480,000000	5,442678
490,000000	3,946618
500,000000	4,569734
510,000000	4,748987
520,000000	5,936117
530,000000	3,072793
540,000000	4,651178
550,000000	4,725567
560,000000	4,593586
570,000000	4,200174
580,000000	4,434370
590,000000	6,050488
600,000000	3,591862
610,000000	4,784525
620,000000	5,331330
630,000000	3,929480
640,000000	4,648987
650,000000	5,578110
660,000000	4,650324
670,000000	4,334318
680,000000	2,641809
690,000000	4,058103
700,000000	3,934662
710,000000	5,113768
720,000000	3,500428
730,000000	5,577836
740,000000	4,869504
750,000000	5,203289
760,000000	2,708528
770,000000	2,834835
780,000000	3,522541
790,000000	3,485989
800,000000	5,305226
810,000000	4,819794
820,000000	2,194099
830,000000	4,164694
840,000000	6,458046
850,000000	2,513914
860,000000	2,293311
870,000000	2,497180
880,000000	3,459702
890,000000	3,898892
900,000000	3,556776
910,000000	5,053461
920,000000	5,597348
930,000000	4,168884
940,000000	5,836236
950,000000	3,971208
960,000000	5,053053
970,000000	3,572760
980,000000	4,677855
990,000000	5,479148
